ListEntry,Name,Grade,hyperlink,NGR,Easting,Northing,lat,lon
1000107,ROUSHAM,I,https://historicengland.org.uk/listing/the-list/list-entry/1000107,"SP 48283 26028, SP 47678 24234, SP4802625124",447679,224233,51.914593222042676,-1.3082246200410805
1000108,HAMPTON COURT,I,https://historicengland.org.uk/listing/the-list/list-entry/1000108,TQ 16570 68051,516570,168051,51.39952387994343,-0.32569236234120397
1000109,HIGHCLERE PARK,I,https://historicengland.org.uk/listing/the-list/list-entry/1000109,SU4498459143,444984,159257,51.33063723321931,-1.3557267216831113
1000110,FARNBOROUGH HALL,I,https://historicengland.org.uk/listing/the-list/list-entry/1000110,SP4274249465,443000,249084,52.138386587720625,-1.3731311299323692
1000111,CHISWICK HOUSE,I,https://historicengland.org.uk/listing/the-list/list-entry/1000111,TQ2083077489,520882,177637,51.484775683605235,-0.2604669833166655
1000112,LEIGH PARK (STAUNTON COUNTRY PARK),II*,https://historicengland.org.uk/listing/the-list/list-entry/1000112,SU 71991 08944,471991,108944,50.875519193821944,-0.9781670875701522
1000113,WREST PARK,I,https://historicengland.org.uk/listing/the-list/list-entry/1000113,TL0958935466,509606,235625,52.008246067828914,-0.4045358385639175
1000114,ENVILLE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000114,SO 82038 85999,382036,285999,52.47162585419903,-2.2658820053931596
1000115,BIDDULPH GRANGE,I,https://historicengland.org.uk/listing/the-list/list-entry/1000115,SJ8956459115,389647,359145,53.12936609451869,-2.1561806014573275
1000116,KIRBY HALL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000116,SP 92615 92554,492615,292554,52.5230021425176,-0.6363933541325871
1000117,"MUSEUM GARDENS, YORK",II,https://historicengland.org.uk/listing/the-list/list-entry/1000117,SE 59917 52086,459917,452086,53.961396570875095,-1.0882760032929093
1000118,CASTLE BROMWICH HALL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000118,SP 14137 89743,414138,289744,52.50541223174396,-1.793140106508748
1000119,OATLANDS,II,https://historicengland.org.uk/listing/the-list/list-entry/1000119,TQ0841765285,508503,165158,51.375119421030924,-0.44249094755818275
1000120,CASTLE HILL,I,https://historicengland.org.uk/listing/the-list/list-entry/1000120,SS 66901 28807,266902,128807,51.04315423444407,-3.8999587872951356
1000121,TITSEY PLACE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000121,TQ 40402 54825,540402,154825,51.27528067210781,0.011475449861142855
1000122,NUNEHAM COURTENAY,I,https://historicengland.org.uk/listing/the-list/list-entry/1000122,SU5421097651,454210,197804,51.6763960696956,-1.2174050325791654
1000123,PAINSWICK HOUSE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000123,SO 86396 10463,386396,210466,51.79267823592042,-2.198650123365284
1000124,CREWE HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000124,SJ7337054317,373275,353572,53.07869874569675,-2.400391460769173
1000125,PAINSHILL PARK,I,https://historicengland.org.uk/listing/the-list/list-entry/1000125,TQ0925760198,509311,160149,51.32994210106363,-0.43242405285045743
1000126,"ROYAL HORTICULTURAL SOCIETY'S GARDENS, WISLEY",II*,https://historicengland.org.uk/listing/the-list/list-entry/1000126,TQ0625858118,506439,158386,51.31463951462252,-0.47415643357636816
1000127,EATON HALL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000127,SJ3974761954,340639,359400,53.1284434260396,-2.8886006762447893
1000128,STON EASTON PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000128,ST 62661 53434,362661,153433,51.2788082532554,-2.536709856939832
1000129,STOKE PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000129,ST 61723 77175,361723,177175,51.49221543597862,-2.5527241075012657
1000130,HACKFALL,I,https://historicengland.org.uk/listing/the-list/list-entry/1000130,SE2336377354,423642,477099,54.18911933306155,-1.6391896195139088
1000131,CASTLE TOR,II,https://historicengland.org.uk/listing/the-list/list-entry/1000131,SX 93453 63705,293453,63705,50.463464464103254,-3.5025187288120425
1000132,"THE LONG WALK, KNARESBOROUGH",II,https://historicengland.org.uk/listing/the-list/list-entry/1000132,SE 34749 56544,434749,456544,54.003759409905406,-1.4713372958405129
1000133,FULHAM PALACE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000133,TQ 24118 76201,524118,176201,51.47116994014388,-0.2143906875866791
1000134,MOUNT EDGCUMBE,I,https://historicengland.org.uk/listing/the-list/list-entry/1000134,"SX4474151992, SX4373049470",244741,51807,50.34566098948973,-4.183462847137947
